postulante,nivel_educativo_texto,titulos_principales,anios_experiencia_efectiva,total_formaciones,cantidad_nbc,cantidad_areas,nivel_educativo_maximo,cant_bachiller,cant_doctorado,cant_educacion_basica_primaria,cant_educacion_basica_secundaria,cant_educacion_informal,cant_especializacion_profesional,cant_especializacion_tecnica_profesional,cant_especializacion_tecnologica,cant_formacion_academica,cant_formacion_laboral,cant_formacion_penitenciaria,cant_maestria,cant_normalista,cant_postdoctorado,cant_profesional,cant_tecnico_profesional,cant_tecnologico,tiene_posgrado,tiene_formacion_complementaria,perfil_multidisciplinario,total_experiencias,periodos_efectivos,dias_experiencia_efectiva,anios_experiencia_efectiva,antiguedad_laboral_dias,antiguedad_laboral_anios,densidad_laboral,duracion_promedio_experiencia,duracion_maxima_experiencia,duracion_minima_experiencia,experiencia_amplia,experiencia_extensa,trayectoria_estable,multiples_experiencias,total_empleos_postulados,participa_varios_concursos
904782233,BACHILLER,Bachiller Pedagogico | DERECHO | ENGLISH DOES WORK - LEVEL 1 | Inteligencia Artificial,2.19,4,1,1,EDUCACION INFORMAL,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,3,800,2.19,1030,2.82,0.777,266.67,442,53,0,0,0,1,1,0
904785579,EDUCACION BASICA SECUNDARIA,BACHILLER ACADEMICO,1.22,1,0,0,EDUCACION BASICA SECUNDARIA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,445,1.22,866,2.37,0.514,148.33,265,58,0,0,0,1,1,0
904820616,FORMACION LABORAL,AUXILIAR ADMINISTRATIVO | BACHILLER | ENTRENAR DEPORTISTAS SEGUN ESTANDAR TÉCNICO-TACTICO,3.0,3,0,0,FORMACION LABORAL,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,5,1095,3.0,1240,3.39,0.883,219.0,408,32,0,0,1,1,1,0
904831892,PROFESIONAL,Bachiller académico | ECONOMIA | Proceso Misional Disciplinario - Etapa de Instrucción,0.85,3,1,1,EDUCACION INFORMAL,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,2,311,0.85,800,2.19,0.389,155.5,184,127,0,0,0,0,1,0
904840362,TECNOLOGICO,BACHILLER INDUSTRIAL | TECNOLOGIA  EN AUTOMATIZACION INDUSTRIAL | TECNOLOGIA EN ELECTRONICA,4.42,3,1,1,TECNOLOGICO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1613,4.42,1613,4.42,1.0,1613.0,1613,1613,0,0,1,0,1,0
904844782,BACHILLER,BACHILLER ACADÉMICO | SOLDADURA CON PROCESO SMAW EN UNIONES 1F Y 2F,1.22,2,0,0,EDUCACION BASICA SECUNDARIA,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,447,1.22,447,1.22,1.0,447.0,447,447,0,0,1,0,1,0
904845996,BACHILLER,ATENCION Y SERVICIO AL CIUDADANO | BACHILLER,4.13,2,0,0,EDUCACION INFORMAL,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1510,4.13,1510,4.13,1.0,1510.0,1510,1510,0,0,1,0,1,0
904847525,ESPECIALIZACION PROFESIONAL,ESPECIALIZACION EN GERENCIA DE PROYECTOS | INGENIERIA DE ALIMENTOS | TECNOLOGIA AGROINDUSTRIAL,11.97,3,3,3,TECNOLOGICO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,10,4,4372,11.97,4937,13.52,0.886,660.9,2025,83,1,1,1,1,1,0
904883749,BACHILLER,Bachiller Comercial,18.59,1,0,0,BACHILLER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6789,18.59,6789,18.59,1.0,6789.0,6789,6789,1,1,1,0,1,0
904888316,PROFESIONAL,INGENIERIA INDUSTRIAL,5.43,1,1,1,PROFESIONAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1985,5.43,1985,5.43,1.0,1985.0,1985,1985,1,0,1,0,2,1
904893902,BACHILLER,BACHILLER,2.3,1,0,0,BACHILLER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,839,2.3,956,2.62,0.878,146.71,365,30,0,0,1,1,1,0
904894205,PROFESIONAL,LICENCIATURA EN PEDAGOGIA INFANTIL | Técnico comercial,5.75,2,1,1,BACHILLER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,4,2099,5.75,4291,11.75,0.489,524.75,1630,53,1,0,0,1,1,0
904904449,TECNICO PROFESIONAL,Bachiller Técnico Especialidad Agropecuarias | TECNICO PROFESIONAL EN PRODUCCION AGRICOLA SOSTENIBLE,12.44,2,0,0,EDUCACION BASICA SECUNDARIA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,8,4542,12.44,7310,20.01,0.621,567.75,3490,16,1,1,0,1,1,0
904927820,BACHILLER,Bachiller acadèmico,1.51,1,0,0,BACHILLER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,551,1.51,551,1.51,1.0,551.0,551,551,0,0,1,0,1,0
904928962,BACHILLER,bachiller academico,2.69,1,0,0,BACHILLER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,983,2.69,984,2.69,0.999,491.5,611,372,0,0,1,0,1,0
904929054,PROFESIONAL,BACHILLER ACADEMICO | CONTADURIA PUBLICA | TECNOLOGÍA EN GESTION CONTABLE Y DE INFORMACION FINANCIERA,3.36,3,0,1,PROFESIONAL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1228,3.36,1228,3.36,1.0,1228.0,1228,1228,0,0,1,0,1,0
904957398,PROFESIONAL,CONTADURIA PUBLICA,1.0,1,1,1,PROFESIONAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,366,1.0,366,1.0,1.0,366.0,366,366,0,0,1,0,1,0
904957823,TECNOLOGICO,DIPLOMADO EN HABILIDADES GERENCIALES | TECNOLOGÍA EN MERCADEO Y NEGOCIOS INTERNACIONALES,4.7,2,1,1,TECNOLOGICO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,4,1717,4.7,2018,5.52,0.851,344.2,494,162,0,0,1,1,1,0
904978081,BACHILLER,Bachiller Academico,8.39,1,0,0,BACHILLER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3066,8.39,3662,10.03,0.837,1533.0,1798,1268,1,0,1,0,1,0
904981047,BACHILLER,BSCHILLER ACADEMICO | fundamentación vigilancia,1.07,2,0,0,FORMACION LABORAL,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,390,1.07,390,1.07,1.0,195.0,389,1,0,0,1,0,1,0
905011073,PROFESIONAL,Bachiller | ECONOMIA | NEUROLINGUSTICA,1.48,3,1,1,PROFESIONAL,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,3,542,1.48,673,1.84,0.805,180.67,274,122,0,0,1,1,1,0
905015615,TECNOLOGICO,NEGOCIOS INTERNACIONALES | bachiller,0.5,2,0,1,TECNOLOGICO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,183,0.5,183,0.5,1.0,183.0,183,183,0,0,1,0,1,0
905040041,BACHILLER,bachiller tecnico especialidad agropecuaria,10.58,1,0,0,BACHILLER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3865,10.58,3865,10.58,1.0,3865.0,3865,3865,1,1,1,0,1,0
905090719,TECNICO PROFESIONAL,ADMINISTRACION DE EMPRESAS | BACHILLER TECNICO | TECNICO LABORAL EN FINANZAS Y CONTABILIDAD,11.79,3,0,1,PROFESIONAL,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,3,4308,11.79,4498,12.31,0.958,1436.0,2338,883,1,1,1,1,1,0
905090725,BACHILLER,Bachiller,2.14,1,0,0,EDUCACION BASICA SECUNDARIA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,782,2.14,1407,3.85,0.556,195.5,427,36,0,0,0,1,1,0
905093310,TECNICO PROFESIONAL,ADMINISTRACION PUBLICA | bachiller con enfasis en educacion | investigador judicial,13.24,3,1,1,EDUCACION BASICA PRIMARIA,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,4837,13.24,4837,13.24,1.0,1853.33,4837,180,1,1,1,1,1,0
905094119,PROFESIONAL,ABORDAJE DE PERSONAS EN RIESGO DE CONSUMO DE SUSTANCIAS PSICOACTIVAS | ACCIONES DE PREVENCION EN SALUD MENTAL | Diseño de pagina web | ESPECIALIZACION EN SEGURIDAD Y SALUD EN EL TRABAJO | Excel Avanzado | Informatica forense | PSICOLOGIA | SISTEMA DE GESTION DE LA SEGURIDAD Y SALUD EN EL TRABAJO SG-SST | Sistema de Gestión de la Seguridad y Salud en el Trabajo,0.62,9,1,1,EDUCACION INFORMAL,0,0,0,0,7,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,2,226,0.62,292,0.8,0.774,113.0,117,109,0,0,0,0,1,0
905113774,PROFESIONAL,INGENIERIA INDUSTRIAL,2.0,1,1,1,PROFESIONAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,731,2.0,969,2.65,0.754,243.67,407,141,0,0,0,1,1,0
905117644,ESPECIALIZACION PROFESIONAL,ADMINISTRACION DE EMPRESAS | ESPECALIZACION EN GERENCIA | TECNICA PROFESIONAL DE PROCESOS ADMINISTRATIVOS | TECNOLOGIA DE GESTION ADMINISTRATIVA | TECNOLOGIA EN GESTION EMPRESARIAL,4.88,5,1,1,ESPECIALIZACION PROFESIONAL,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,1,0,0,3,3,1783,4.88,1862,5.1,0.958,594.33,891,365,0,0,1,1,1,0
905117709,PROFESIONAL,ADMINISTRACION DE EMPRESAS | Bachiller,10.0,2,1,1,PROFESIONAL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3654,10.0,3654,10.0,1.0,3654.0,3654,3654,1,1,1,0,2,1
905118475,PROFESIONAL,BACHILLER ACADÉMICO | BASES DEL ENTRENAMIENTO DEPORTIVO | CINE Y TELEVISION | COMANDO DE OPERACIONES RURALES | COMUNICACIÓN | DISEÑO | Google Inteligencia Artificial y productividad | Marketing de Medios Sociales | TÉCNICO EN DISEÑO E INTEGRACION DE MULTIMEDIA,15.7,9,1,1,EDUCACION INFORMAL,1,0,0,0,6,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,3,3,5736,15.7,5937,16.25,0.966,1912.0,5241,154,1,1,1,1,1,0
905123606,PROFESIONAL,BACHILLER TECNICO | NEGOCIOS INTERNACIONALES,5.81,2,1,1,PROFESIONAL,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,2121,5.81,2140,5.86,0.991,707.0,1290,365,1,0,1,1,1,0
905124690,ESPECIALIZACION PROFESIONAL,ARQUITECTURA | ESPECIALIZACION EN PATOLOGIA DE LA CONSTRUCCION | FORMULACION DE PROYECTOS CON ENFASIS EN CTEL | GESTION PUBLICA INTEGRAL PARA EL FORTALECIMIENTO INSTITUCIONAL | PROCESOS DE CONTRATACION EN LINEA CON EL ESTADO COLOMBIANO,8.78,5,1,2,EDUCACION INFORMAL,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,6,5,3208,8.78,4427,12.12,0.725,535.5,1096,214,1,0,0,1,1,0
905124735,TECNOLOGICO,Bachiller Academico | Básica Primaria | TECNOLOGIA EN GESTION EMPRESARIAL | Técnico Laboral en Procedimientos Administrativos,4.34,4,1,1,TECNOLOGICO,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6,6,1585,4.34,2750,7.53,0.576,264.17,533,52,0,0,0,1,3,1
905131437,BACHILLER,BACHILLER ACADEMICO | CAPACITACION DE SEGURIDAD Y SALUD EN EL TRABAJO | CAPACITACION DE SERVICIO AL CLIENTE Y ATENCION AL CIUDADANO | CAPACITACION DE SISTEMAS INTEGRADOS DE GESTION | Reentrenamieto en vigilancia,7.55,6,0,0,EDUCACION INFORMAL,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,5,2757,7.55,3760,10.29,0.733,551.4,1598,83,1,0,0,1,1,0
905131540,PROFESIONAL,BACHILLER TECNICO | BASICA PRIMERA | BASICA SECUNDARIA | DERECHO Y CIENCIAS POLITICAS | Diplomado de violencias contra mujeres basadas en género y feminicidio | ESPECIALIZACION TECNOLOGICA EN GESTION DE LA PRODUCCION PECUARIA | Gerencia Juridica Publica | Introducción a la investigación criminal y forense,1.17,9,2,2,EDUCACION INFORMAL,1,0,1,1,3,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,7,6,427,1.17,2906,7.96,0.147,63.43,302,10,0,0,0,1,2,1
905134011,EDUCACION BASICA SECUNDARIA,Básica Secundaria | CONTADURIA PUBLICA,7.76,2,0,0,PROFESIONAL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,2836,7.76,2864,7.84,0.99,1418.0,2606,230,1,0,1,0,1,0
905138386,PROFESIONAL,Bachiller Tecnico En Asesoria Comercial Y De Operaciones Financieras | INGENIERIA DE SISTEMAS | TECNOLOGÍA EN COMUNICACIÓN COMERCIAL,1.86,3,1,2,BACHILLER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,3,679,1.86,892,2.44,0.761,226.33,411,123,0,0,0,1,1,0
905139004,TECNOLOGICO,Bachiller academico | TECNOLOGIA EN COORDINACION DE PROCESOS LOGÍSTICOS | TECNOLOGIA EN MANTENIMIENTO DE EQUIPO BIOMEDICO,8.66,3,1,2,TECNOLOGICO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,3162,8.66,4655,12.74,0.679,1581.0,2953,209,1,0,0,0,1,0
905141527,EDUCACION INFORMAL,ADMINISTRACION FINANCIERA BASICA | AUXILIAR DE ENFEMERIA | BACHILLER TECNICO | Curso Atencion Integral a Victimas de Violencia Intrafamiliar y de Genero | Curso Atencion Integral a Victimas de Violencia Sexual | Curso Atencion Integral en Salud con Enfoque Psicosocial a Victimas de Conflicto Armado | Curso Especial en Soporte Vital Basico | Curso Manejo de Pruebas en Punto de Atencion POCT | Curso Protocolos de Atencion Integral a Victimas de Quemadura con Agentes Quimicos | Curso Soporte Vital Basico RCP BLS | Curso de Acompañamiento en Proceso de Duelo con Enfasis en Terapia Emocional | Curso de Bioseguridad Hospitalaria | Curso de Gestion y Manejo de Residuos Peligrosos y Biologicos Hospitalarios | Curso de Manejo de Dolor y Cuidado Paliativo | Curso de Seguridad Clinica del Paciente y Calidad Asistencial | Curso de Transfusion Sanguinea y Hemoderivados | Curso en Radio Proteccion 2019 | DIPLOMADO DE ENFERMERIA CON ENFASIS EN LABORATORIO CLINICO | SECRETARIADO COMERCIAL,13.34,19,0,0,EDUCACION INFORMAL,1,0,0,1,14,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,1,1,4871,13.34,4871,13.34,1.0,4871.0,4871,4871,1,1,1,0,2,1
905153749,TECNOLOGICO,SEGURIDAD Y SALUD EN EL TRABAJO | TECNOLOGIA EN SUPERVISION DE REDES DE DISTRIBUCION DE ENERGIA ELECTRICA | bachiller,1.5,3,2,2,PROFESIONAL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,547,1.5,547,1.5,1.0,547.0,547,547,0,0,1,0,1,0
905153804,TECNICO PROFESIONAL,Bachiller academico | INGENIERIA INDUSTRIAL,6.01,2,1,1,PROFESIONAL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2194,6.01,2194,6.01,1.0,2194.0,2194,2194,1,0,1,0,1,0
905156787,BACHILLER,Educación Media Académica,1.16,1,0,0,BACHILLER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,423,1.16,423,1.16,1.0,423.0,423,423,0,0,1,0,1,0
905160119,BACHILLER,Bachiller académico | Fundamentación vigilancia | Reentrenamiento vigilancia | Técnico laboral por competencia en asistente social para la seguridad,1.87,4,0,0,FORMACION ACADEMICA,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,2,682,1.87,1286,3.52,0.53,341.0,388,294,0,0,0,0,1,0
905227314,ESPECIALIZACION PROFESIONAL,ADMINISTRACION DE EMPRESAS | Bachiller Academico | ESPECIALIZACION EN GERENCIA DE PROYECTOS | TECNOLOG¿A EN CONTABILIDAD Y FINANZAS,4.59,4,1,2,BACHILLER,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,4,4,1676,4.59,2882,7.89,0.582,419.0,1026,101,0,0,0,1,1,0
905319074,ESPECIALIZACION PROFESIONAL,Bachillerato Académico | ESPECIALIZACION EN GERENCIA EN SALUD OCUPACIONAL | TERAPIA RESPIRATORIA,14.12,3,2,2,ESPECIALIZACION PROFESIONAL,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,10,9,5159,14.12,5376,14.72,0.96,517.0,2002,73,1,1,1,1,1,0
905322096,ESPECIALIZACION PROFESIONAL,CURSO DE SISTEMA DE GESTIÓN DE LA SEGURIDAD Y SALUD EN EL TRABAJO | CURSO EN INTEGRIDADTRANSPARENCIA Y LUCHA CONTRA LA CORRUPCION | CURSO INDUCCIÓN Y REINDUCCIÓN A PROCESOS INSTITUCIONALES | CURSO VIRTUAL EN PROTOCOLO IVC PARA MINERÍA A CIELO ABIERTO | DIPLOMADO EN COMPETENCIAS Y HABILIDADES TÉCNICAS JURÍDICAS Y DE GESTIÓN DE RIESGOS LABORALES PARA LA INSPECCIONVIGILANCIA Y CONTROL | DIPLOMADO EN COPETENCIAS PARA LA DOCENCIA EN LA EDUCACIÓN SUPERIOR | DISEÑADORWEB Y MULTIMEDIA | ESPECIALIZACION EN ALTA GERENCIA | INGENIERIA INDUSTRIAL | PROGRAMA INSPECCIÓN DEL TRABAJO PARA LA JUSTICIA SOCIAL | TECNOLOGIA EN DISEÑO GRAFICO,5.56,11,1,1,EDUCACION INFORMAL,0,0,0,0,8,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,3,3,2029,5.56,3804,10.41,0.533,676.33,937,356,1,0,0,1,1,0
905322719,TECNICO PROFESIONAL,Bachiller academico | TÉCNICO EN NÓMINA Y PRESTACIONES SOCIALES,0.54,2,0,0,BACHILLER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,197,0.54,197,0.54,1.0,197.0,197,197,0,0,1,0,1,0
905325998,TECNICO PROFESIONAL,BACHILLER ACADEMICO | CONTABILIZACION DE OPERACIONES COMERCIALES Y FINANCIERAS,0.54,2,0,0,TECNICO PROFESIONAL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,197,0.54,197,0.54,1.0,197.0,197,197,0,0,1,0,1,0
905327024,MAESTRIA,ANÁLISIS FINANCIERO Y ESTADÍSTICO | BACHILLER ACADÉMICO | BÁSICO EN ECONOMÍA SOLIDARIA | CREATIVIDAD PARA LA SOLUCION DE CONFLICTOS LABORALES | DIPLOMADO EN GERENCIA DE PROYECTOS | DIPLOMADO EN GESTIÓN DE ENERGÍAS RENOVABLES | DIPLOMADO EN PEDAGOGÍA PARA PROFESIONALES NO LICENCIADOS | DIPLOMADO EN SERVICIOS PÚBLICOS | DIPLOMATURA SOBRE NORMAS INTERNACIONALES DE CONTABILIDAD IFRS | ENERGÍA SOLAR FOTOVOLTÁICA A PEQUEÑA ESCALA | ESPECIALIZACION EN GERENCIA DE PROYECTOS | FORMULACIÓN Y PRESENTACIÓN DE PROYECTOS ANTE LAS OCAD CON RECURSOS DEL SGR | HABILIDADES GERENCIALES | INGENIERIA INDUSTRIAL | INGLÉS INTERMEDIO ALTO B1 | LÍDERES ENERGÉTICOS | MAESTRIA EN GERENCIA DE PROYECTOS | MICROSOFT OFFICE SPECIALIST - EXCEL | PRIMARIA | SCRUM FUNDAMENTALS CERTIFIED,18.29,20,2,3,EDUCACION INFORMAL,1,0,1,0,14,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,8,7,6682,18.29,7524,20.6,0.888,843.88,1918,138,1,1,1,1,1,0
905332262,BACHILLER,Bachillerato academico,3.71,1,0,0,BACHILLER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1354,3.71,1595,4.37,0.849,451.33,1002,76,0,0,1,1,1,0
905332875,BACHILLER,Bachiller academico,4.11,1,0,0,BACHILLER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1503,4.11,1807,4.95,0.832,751.5,1046,457,0,0,1,0,1,0
905334469,TECNICO PROFESIONAL,Bachiller | Basica Secundaria | Primaria Basica | Tecnico en Sistemas,10.09,4,0,0,EDUCACION INFORMAL,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,3686,10.09,3799,10.4,0.97,1228.67,3236,72,1,1,1,1,1,0
905336317,TECNOLOGICO,TECNOLOGIA EN CONTABILIDAD SISTEMATIZADA,0.64,1,1,1,TECNOLOGICO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,232,0.64,232,0.64,1.0,232.0,232,232,0,0,1,0,1,0
905337319,PROFESIONAL,Atención integral en salud a victimas de violencia sexual | PSICOLOGIA,1.0,2,0,1,EDUCACION INFORMAL,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,366,1.0,366,1.0,1.0,366.0,366,366,0,0,1,0,1,0
905338050,TECNICO PROFESIONAL,BACHILLER TECNICO | TECNICO LABORAL SECRETARIADO GERENCIAL,1.79,2,0,0,BACHILLER,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,655,1.79,655,1.79,1.0,327.5,365,290,0,0,1,0,1,0
905340519,PROFESIONAL,BACHILLER CON ENFASIS EN CIENCIAS BASICAS | DIPLOMADO EN GERENCIA DE PROYECTOS | INGENIERIA MECATRONICA | SEMINARIO EN TENDENCIA E INNOVACION INDUSTRIAS | TECNICO LABORAL EN MANTENIMIENTO DE EQUIPOS ELECTROMECANICOS | TECNICO PROFESIONAL EN ELECTROMECANICA | TECNOLOGIA EN ELECTROMECANICA,2.21,7,0,0,EDUCACION INFORMAL,1,0,0,0,2,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,3,3,808,2.21,1142,3.13,0.708,269.33,354,187,0,0,0,1,1,0
905340804,TECNICO PROFESIONAL,Bachiller | Fundamentación vigilancia,6.78,2,0,0,EDUCACION BASICA SECUNDARIA,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,6,2478,6.78,3737,10.23,0.663,413.0,1306,122,1,0,0,1,1,0
905341787,PROFESIONAL,TECNOLOGIA EN MULTIMEDIA | TURISMO,3.28,2,1,1,PROFESIONAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6,5,1198,3.28,2407,6.59,0.498,261.33,606,1,0,0,0,1,1,0
905344632,PROFESIONAL,BACHILLER | ECONOMIA | TECNOLOGIA EN FORMULACION DE PROYECTOS,2.39,3,1,2,TECNOLOGICO,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,6,872,2.39,4074,11.15,0.214,145.33,212,80,0,0,0,1,1,0
905344813,TECNOLOGICO,TECNICO SEGURIDAD OCUPACIONAL | TECNOLOGIA  EN CONTROL AMBIENTAL,2.61,2,1,1,TECNOLOGICO,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,954,2.61,987,2.7,0.967,477.0,488,466,0,0,1,0,1,0
905345602,BACHILLER,BACHILLER COMERCIAL,16.41,1,0,0,BACHILLER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,5992,16.41,9975,27.31,0.601,749.0,2436,159,1,1,0,1,1,0
905348401,PROFESIONAL,PSICOLOGIA,2.75,1,0,0,PROFESIONAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,1004,2.75,1004,2.75,1.0,502.0,541,463,0,0,1,0,1,0
905352790,PROFESIONAL,Bachiller academico | Ingles | NEGOCIOS INTERNACIONALES | Tecnico academico con conocimiento en Ingles | bachiller académico,1.0,6,1,2,FORMACION ACADEMICA,2,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,1,364,1.0,364,1.0,1.0,364.0,364,364,0,0,1,0,2,1
905476905,ESPECIALIZACION PROFESIONAL,BACHILLER ACADEMICO | DERECHO | ESPECIALIZACION EN DERECHO ADMINISTRATIVO | ESTUDIOS PRIMARIOS,9.97,4,1,1,BACHILLER,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,5,3641,9.97,4168,11.41,0.874,728.2,1461,118,1,0,1,1,1,0
905477998,PROFESIONAL,Bachiller académico | INGENIERIA INDUSTRIAL | Técnico en programación de software,0.5,3,1,1,PROFESIONAL,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,182,0.5,182,0.5,1.0,182.0,182,182,0,0,1,0,1,0
905478112,TECNICO PROFESIONAL,Asistencia a la Primera Infancia | académico,2.15,2,0,0,BACHILLER,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,786,2.15,786,2.15,1.0,786.0,786,786,0,0,1,0,1,0
905478221,ESPECIALIZACION PROFESIONAL,Bachiller Academico | DERECHO | ESPECIALIZACION EN DERECHO ADMINISTRATIVO Y CONSTITUCIONAL,12.02,3,1,1,EDUCACION BASICA SECUNDARIA,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,21,15,4391,12.02,5808,15.9,0.756,244.14,1117,66,1,1,0,1,1,0
905478987,ESPECIALIZACION PROFESIONAL,BACHILLER ACADÉMICA CON INTENSIFICACIÓN PEDAGÓGICA | CURSO ELEMENTOS ESTRUCTURALES NTC ISO 45001 | DIPLOMADO SISTEMAS DE GESTIÓN INTEGRADOS HSEQ | ESPECIALIZACION EN DERECHO LABORAL Y SISTEMA DE SEGURIDAD SOCIAL | FORMACIÓN DE AUDITORES INTERNOS EN SISTEMAS DE GESTIÓN INTEGRADOS | INGENIERIA INDUSTRIAL,7.69,6,2,2,EDUCACION INFORMAL,0,0,0,0,3,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,2,2,2807,7.69,3277,8.97,0.857,1403.5,2130,677,1,0,1,0,1,0
905484540,PROFESIONAL,ADMINISTRACION EN SALUD | AUDITORIA DE LOS SERVICIOS A LA SALUD | AUDITORIA EN SALUD | BACHILLER ACADEMICO | CONTADURIA PUBLICA | FACTURACION EN SERVICIOS DE SALUD | FACTURACION OBJECIONES Y GLOSAS | GESTION CONTABLE | SEGURIDAD INDUSTRIAL,13.33,9,1,1,EDUCACION INFORMAL,0,0,0,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,11,10,4867,13.33,6803,18.63,0.715,475.64,1227,59,1,1,0,1,1,0
